task,model_name,capacity_name,dataset_size,n_off_diagonal,mean_degradation,worst_degradation,worst_pair_r_train,worst_pair_r_eval,train_low_eval_high,train_high_eval_low,transfer_asymmetry
darcy,fno,tiny,500,16,0.972867422012649,0.9993365664110738,128,32,0.9663218867242668,0.983776647493286,1.018063091614523
darcy,fno,tiny,1000,16,1.0038390547742124,1.0411228211548451,64,32,1.0102088771249282,0.9932226841896855,0.9831854645906639
darcy,fno,tiny,5000,16,1.0040013770357423,1.0333104345537893,128,32,1.0009331292015395,1.0091151234260802,1.00817436648447
darcy,fno,xlarge,50,16,1.0009950498644389,1.0113484507747357,32,64,1.0047422729801379,0.9947496780049409,0.9900545689736352
darcy,fno,xlarge,100,16,0.985311352129152,1.0080853436754105,256,512,0.9757445879169065,1.0012559591495613,1.0261455421311825
darcy,fno,xlarge,500,16,0.9510249260266719,0.9806525264433477,64,32,0.9518831492174946,0.9495945540419671,0.9975957183637415
darcy,fno,xlarge,1000,16,1.0279493892185663,1.0762191647755988,256,32,1.023353747392102,1.0356087922626733,1.011975374988172
darcy,fno,xlarge,5000,16,0.9997058374209431,1.0174449207636556,64,512,1.0058126631287105,0.989527794574664,0.9838092428629897
diffusion,deeponet,large,50,16,1.0423057539033764,1.1401581800760188,32,512,1.0457010853003765,1.0366468682417092,0.9913414864095063
diffusion,deeponet,large,100,16,1.0804760420016577,1.3258975802763309,32,512,1.1046123806850514,1.0402488108626684,0.9417319858551048
diffusion,deeponet,large,500,16,1.1124094646008584,1.3639574794010052,32,512,1.1306424106910709,1.0820212211171707,0.9569968461167294
diffusion,deeponet,large,1000,16,1.1244349534316629,1.4010959241662935,32,512,1.1332220278389444,1.1097898294195272,0.9793225000540252
diffusion,deeponet,large,5000,16,1.132648162133089,1.4452303321003164,32,512,1.155248522124898,1.094980895480074,0.9478314618105105
diffusion,deeponet,med-large,50,16,1.0379668415958154,1.1283660855299706,32,512,1.044662001218781,1.0268082422242057,0.9829095353580911
diffusion,deeponet,med-large,100,16,1.067936793166366,1.2473206199067952,32,512,1.0810115769224193,1.0461454869062765,0.967746793132961
diffusion,deeponet,med-large,500,16,1.0897394947181596,1.284660202968523,32,512,1.0965204506364234,1.0784379015210532,0.9835091547039774
diffusion,deeponet,med-large,1000,16,1.1098926734287988,1.381069292894552,32,512,1.126498377570496,1.0822164998593033,0.9606906866508812
diffusion,deeponet,med-large,5000,16,1.11298429430988,1.4067347343071868,32,512,1.1343879615328165,1.0773115156049862,0.9496852506697029
diffusion,deeponet,medium,50,16,1.0335790489730163,1.123759688356537,32,512,1.0384423601667436,1.0254735303168039,0.9875112665397651
diffusion,deeponet,medium,100,16,1.0565628176419914,1.1975911190716684,32,512,1.0662115274569204,1.0404816346171095,0.9758679284764622
diffusion,deeponet,medium,500,16,1.0902171256712219,1.299006745613472,32,512,1.1024163833579301,1.0698850295267082,0.9704908650467146
diffusion,deeponet,medium,1000,16,1.0870012672463254,1.2700031523045145,32,512,1.0906250139514315,1.0809616894044816,0.9911396452278873
diffusion,deeponet,medium,5000,16,1.0902104014538376,1.307333337580848,32,512,1.1044440230514572,1.0664876987911382,0.9656330936941016
diffusion,deeponet,small,50,16,1.0234938813011474,1.0845601734605217,32,512,1.0292902798942307,1.013833216979342,0.9849827952164505
diffusion,deeponet,small,100,16,1.043974578743578,1.146869219515959,32,512,1.048637780397972,1.0362025759862543,0.9881415636131301
diffusion,deeponet,small,500,16,1.0715216327389407,1.2169295617495952,32,512,1.0749446040388042,1.0658166805725016,0.9915084708253736
diffusion,deeponet,small,1000,16,1.065936594260017,1.2234652385355942,32,512,1.0757104348413198,1.0496468599578457,0.9757708263866393
