task,model_name,capacity_name,dataset_size,resolution_train,resolution_eval,n_runs,n_success,median_test_rel_l2,iqr_test_rel_l2,seed_cv_test_rel_l2,worst_test_rel_l2,best_test_rel_l2,parent_convergence_rate,parent_converged,parent_median_test_rel_l2,degradation_vs_diagonal,is_r48_train
burgers_operator,deeponet,med-large,50,128,512,4,4,0.4379323720932007,0.03889883309602743,0.05940504733165848,0.4574742317199707,0.4052589237689972,1.0,True,0.4456760287284851,0.9826249200402878,False
burgers_operator,deeponet,med-large,50,256,32,4,4,0.5698589980602264,0.01190987229347229,0.015706919522953368,0.5821564793586731,0.562598466873169,1.0,True,0.43313837051391596,1.3156511564285849,False
burgers_operator,deeponet,med-large,50,256,64,4,4,0.4861566126346588,0.015129342675209045,0.021774002020239797,0.4997691810131073,0.4773434698581695,1.0,True,0.43313837051391596,1.1224048611944424,False
burgers_operator,deeponet,med-large,50,256,128,4,4,0.44079743325710297,0.018819004297256414,0.028003773123819527,0.4551333487033844,0.4299834370613098,1.0,True,0.43313837051391596,1.0176827158815314,False
burgers_operator,deeponet,med-large,50,256,512,4,4,0.4323988705873489,0.020638510584831238,0.030502153641282986,0.4467880427837372,0.4204794764518738,1.0,True,0.43313837051391596,0.9982926935665163,False
burgers_operator,deeponet,med-large,100,32,64,4,4,0.46727438271045685,0.005828678607940674,0.024213767899706636,0.4900494217872619,0.4669068157672882,1.0,True,0.5464715361595154,0.8550754280714433,False
burgers_operator,deeponet,med-large,100,32,128,4,4,0.4280587136745453,0.007391892373561859,0.030202283797123253,0.4537145793437958,0.4265098571777344,1.0,True,0.5464715361595154,0.7833138331098634,False
burgers_operator,deeponet,med-large,100,32,256,4,4,0.4254604429006576,0.008018314838409424,0.030475274481279523,0.450521856546402,0.4223895668983459,1.0,True,0.5464715361595154,0.7785592016204581,False
burgers_operator,deeponet,med-large,100,32,512,4,4,0.42749147117137903,0.00826931744813919,0.03005122196219855,0.4519112408161163,0.4236171543598175,1.0,True,0.5464715361595154,0.782275823871262,False
burgers_operator,deeponet,med-large,100,64,32,4,4,0.5384653806686401,0.010532572865486145,0.017902581661402177,0.5460649728775024,0.5240244269371033,1.0,True,0.44539207220077515,1.208969387371379,False
burgers_operator,deeponet,med-large,100,64,128,4,4,0.4014540165662765,0.007754631340503693,0.03028398350466041,0.4128234088420868,0.3835344612598419,1.0,True,0.44539207220077515,0.9013497132596197,False
burgers_operator,deeponet,med-large,100,64,256,4,4,0.3947000503540039,0.008084140717983246,0.031937324724914805,0.4069808423519134,0.3765103816986084,1.0,True,0.44539207220077515,0.8861856215888815,False
burgers_operator,deeponet,med-large,100,64,512,4,4,0.3950168043375015,0.008145101368427221,0.03188750553112747,0.4075680077075958,0.3770653307437897,1.0,True,0.44539207220077515,0.8868968017002213,False
burgers_operator,deeponet,med-large,100,128,32,4,4,0.5446484386920929,0.0063895732164382935,0.012062817130838645,0.5530104041099548,0.5372605919837952,1.0,True,0.39915117621421814,1.3645166822702501,False
burgers_operator,deeponet,med-large,100,128,64,4,4,0.45114633440971375,0.007726170122623444,0.022273234765469566,0.4700716435909271,0.4481430649757385,1.0,True,0.39915117621421814,1.1302643241306412,False
burgers_operator,deeponet,med-large,100,128,256,4,4,0.39117023348808283,0.00798739492893219,0.03258255477215565,0.4162498712539673,0.3891271948814392,1.0,True,0.39915117621421814,0.9800052130577913,False
burgers_operator,deeponet,med-large,100,128,512,4,4,0.39101986587047577,0.007819242775440272,0.03265514753083396,0.4161831140518188,0.3890371918678283,1.0,True,0.39915117621421814,0.9796284945947937,False
