task,model_name,capacity_name,dataset_size,r_low,r_high,ratio
burgers_operator,deeponet,small-med,100,96,192,0.9572150652416478
burgers_operator,deeponet,small-med,100,128,256,0.9827093473816613
burgers_operator,deeponet,small-med,100,192,384,1.0617383811000487
burgers_operator,deeponet,small-med,100,256,512,0.9968255070503225
burgers_operator,deeponet,small-med,150,32,64,0.8190050378682726
burgers_operator,deeponet,small-med,150,64,128,0.9010143697046517
burgers_operator,deeponet,small-med,150,128,256,0.9931401442414398
burgers_operator,deeponet,small-med,200,16,32,1.0759700613336463
burgers_operator,deeponet,small-med,200,32,64,0.8210075238226029
burgers_operator,deeponet,small-med,200,64,128,0.8549543396837431
burgers_operator,deeponet,small-med,200,96,192,0.9430009701165118
burgers_operator,deeponet,small-med,200,128,256,0.9933600503518254
burgers_operator,deeponet,small-med,200,192,384,0.9966137266119655
burgers_operator,deeponet,small-med,200,256,512,1.0272946518511703
burgers_operator,deeponet,small-med,300,32,64,0.8174134701482729
burgers_operator,deeponet,small-med,300,64,128,0.8396146106340606
burgers_operator,deeponet,small-med,300,128,256,1.0106269998925446
burgers_operator,deeponet,small-med,500,16,32,1.8030440808716128
burgers_operator,deeponet,small-med,500,32,64,0.8125496340538383
burgers_operator,deeponet,small-med,500,64,128,0.8282307083893459
burgers_operator,deeponet,small-med,500,96,192,0.890381267004258
burgers_operator,deeponet,small-med,500,128,256,0.9984676343881933
burgers_operator,deeponet,small-med,500,192,384,1.0153728159614663
burgers_operator,deeponet,small-med,500,256,512,1.0289619654364386
burgers_operator,deeponet,small-med,750,32,64,0.809132715265178
burgers_operator,deeponet,small-med,750,64,128,0.8494780063609253
burgers_operator,deeponet,small-med,750,128,256,0.9953655126400598
burgers_operator,deeponet,small-med,1000,16,32,1.7040617127957638
burgers_operator,deeponet,small-med,1000,32,64,0.8114530127559806
burgers_operator,deeponet,small-med,1000,64,128,0.8612184795477228
burgers_operator,deeponet,small-med,1000,96,192,0.9953749326377019
burgers_operator,deeponet,small-med,1000,128,256,0.9752732751112579
burgers_operator,deeponet,small-med,1000,192,384,0.966293761693917
burgers_operator,deeponet,small-med,1000,256,512,0.9970357659772379
burgers_operator,deeponet,small-med,2000,16,32,2.029425046683223
